identifier	name	url	n_genes	n_coding_genes	source	license	genes	coding_genes
P00034	Integrin signalling pathway	http://identifiers.org/panther.pathway/P00034	166	166	panther		10092|10094|10095|10109|10319|10552|10746|1277|1278|1280|1281|1282|1284|1285|1286|1287|1288|1289|1290|1291|1292|1293|1295|1296|1297|1298|1299|1300|1301|1302|1303|1305|1306|1307|1308|1398|1399|1445|1755|1793|2185|22798|22801|23092|2316|2317|2335|2534|27289|284217|2889|29780|3265|345651|3611|3655|3672|3673|3674|3675|3676|3678|3679|3680|3681|3682|3683|3684|3685|3687|3688|3689|369|3691|3693|3694|3695|3696|375|382|387|388|389|390|3908|3909|3910|3911|3912|3913|3914|3915|3918|3987|400|4215|4216|4217|4893|50509|50807|51277|5286|5287|5289|5290|5291|5293|5294|5295|5296|55679|55738|55742|5595|5597|5599|5601|5602|5603|5604|5605|5606|5747|57642|5782|57826|5829|5879|5880|5894|5906|5908|5911|5912|59277|60|6237|63916|6416|6464|6654|6655|6714|673|7094|71|7373|7408|7414|79658|81|8153|81873|8503|8515|8516|85301|85377|857|87|88|9358|9564|9844|998	10092|10094|10095|10109|10319|10552|10746|1277|1278|1280|1281|1282|1284|1285|1286|1287|1288|1289|1290|1291|1292|1293|1295|1296|1297|1298|1299|1300|1301|1302|1303|1305|1306|1307|1308|1398|1399|1445|1755|1793|2185|22798|22801|23092|2316|2317|2335|2534|27289|284217|2889|29780|3265|345651|3611|3655|3672|3673|3674|3675|3676|3678|3679|3680|3681|3682|3683|3684|3685|3687|3688|3689|369|3691|3693|3694|3695|3696|375|382|387|388|389|390|3908|3909|3910|3911|3912|3913|3914|3915|3918|3987|400|4215|4216|4217|4893|50509|50807|51277|5286|5287|5289|5290|5291|5293|5294|5295|5296|55679|55738|55742|5595|5597|5599|5601|5602|5603|5604|5605|5606|5747|57642|5782|57826|5829|5879|5880|5894|5906|5908|5911|5912|59277|60|6237|63916|6416|6464|6654|6655|6714|673|7094|71|7373|7408|7414|79658|81|8153|81873|8503|8515|8516|85301|85377|857|87|88|9358|9564|9844|998
P00035	Interferon-gamma signaling pathway	http://identifiers.org/panther.pathway/P00035	28	28	panther		10401|1154|122809|1432|225689|30837|3458|3459|3460|3716|3717|51588|5594|5595|5599|5600|5601|5602|5603|5777|6300|6772|8554|8835|9021|9063|9306|9655	10401|1154|122809|1432|225689|30837|3458|3459|3460|3716|3717|51588|5594|5595|5599|5600|5601|5602|5603|5777|6300|6772|8554|8835|9021|9063|9306|9655
P00036	Interleukin signaling pathway	http://identifiers.org/panther.pathway/P00036	80	80	panther		10000|1026|1027|1147|121599|2002|2004|2005|207|208|225689|2309|2353|2475|27330|2872|2932|3551|3552|3559|3560|3563|3565|3566|3568|3569|3570|3572|3576|3577|3578|3579|3587|3588|3589|3590|3594|3595|3597|3598|3600|3601|3667|369|3718|4609|4846|4893|51561|5170|5290|5291|53832|5594|5595|5597|5598|5894|59067|5921|6195|6196|6197|6464|6654|6655|6688|6722|673|6772|6773|6774|6775|6776|6777|6778|84174|8569|8660|9261	10000|1026|1027|1147|121599|2002|2004|2005|207|208|225689|2309|2353|2475|27330|2872|2932|3551|3552|3559|3560|3563|3565|3566|3568|3569|3570|3572|3576|3577|3578|3579|3587|3588|3589|3590|3594|3595|3597|3598|3600|3601|3667|369|3718|4609|4846|4893|51561|5170|5290|5291|53832|5594|5595|5597|5598|5894|59067|5921|6195|6196|6197|6464|6654|6655|6688|6722|673|6772|6773|6774|6775|6776|6777|6778|84174|8569|8660|9261
P00037	Ionotropic glutamate receptor pathway	http://identifiers.org/panther.pathway/P00037	42	42	panther		10369|116443|246213|27091|2890|2891|2892|2893|2897|2898|2899|2900|2901|2902|2903|2904|2905|2906|2912|2913|415117|4905|50944|57084|6505|6506|6507|6511|6512|6616|6843|6844|815|816|817|85358|8673|8676|8773|9341|9342|9463	10369|116443|246213|27091|2890|2891|2892|2893|2897|2898|2899|2900|2901|2902|2903|2904|2905|2906|2912|2913|415117|4905|50944|57084|6505|6506|6507|6511|6512|6616|6843|6844|815|816|817|85358|8673|8676|8773|9341|9342|9463
P00038	JAK/STAT signaling pathway	http://identifiers.org/panther.pathway/P00038	15	15	panther		10401|1432|3716|3717|3718|5788|6772|6774|6775|6776|6777|6778|8554|8651|9063	10401|1432|3716|3717|3718|5788|6772|6774|6775|6776|6777|6778|8554|8651|9063
P00039	Metabotropic glutamate receptor group III pathway	http://identifiers.org/panther.pathway/P00039	65	65	panther		10681|112755|116443|143187|2770|2771|2773|2782|2783|2784|2785|2786|2787|2788|2790|2793|2890|2891|2892|2893|2897|2898|2899|2900|2901|2902|2903|2904|2905|2906|2911|2914|2915|2916|2917|2918|5566|5567|5568|5573|5575|5576|5577|55811|5613|57030|59345|6505|6506|6507|6511|6512|6616|6804|6843|6844|773|774|777|782|8673|8773|9341|9342|94235	10681|112755|116443|143187|2770|2771|2773|2782|2783|2784|2785|2786|2787|2788|2790|2793|2890|2891|2892|2893|2897|2898|2899|2900|2901|2902|2903|2904|2905|2906|2911|2914|2915|2916|2917|2918|5566|5567|5568|5573|5575|5576|5577|55811|5613|57030|59345|6505|6506|6507|6511|6512|6616|6804|6843|6844|773|774|777|782|8673|8773|9341|9342|94235
P00040	Metabotropic glutamate receptor group II pathway	http://identifiers.org/panther.pathway/P00040	42	42	panther		10681|112755|2770|2771|2773|2775|2780|2782|2783|2784|2785|2786|2787|2788|2790|2791|2793|2912|2913|5566|5567|5568|5573|5575|5576|5577|55811|5613|59345|6616|6804|6843|6844|773|774|777|782|8673|8773|9341|9342|94235	10681|112755|2770|2771|2773|2775|2780|2782|2783|2784|2785|2786|2787|2788|2790|2791|2793|2912|2913|5566|5567|5568|5573|5575|5576|5577|55811|5613|59345|6616|6804|6843|6844|773|774|777|782|8673|8773|9341|9342|94235
P00041	Metabotropic glutamate receptor group I pathway	http://identifiers.org/panther.pathway/P00041	24	24	panther		116443|2767|2769|2776|2897|2901|2902|2903|2904|2905|2906|2907|2911|2915|3708|5332|5566|5567|5568|5573|5575|5579|5613|9456	116443|2767|2769|2776|2897|2901|2902|2903|2904|2905|2906|2907|2911|2915|3708|5332|5566|5567|5568|5573|5575|5579|5613|9456
P00042	Muscarinic acetylcholine receptor 1 and 3 signaling pathway	http://identifiers.org/panther.pathway/P00042	54	54	panther		10681|1103|112755|1128|1131|116443|2767|2776|2782|2783|2784|2785|2786|2787|2788|2790|2791|2793|2902|2903|2904|2905|2906|29941|3708|3709|3710|43|5332|5578|5579|5580|5581|5582|5583|5584|5585|5586|5588|5590|590|59345|60482|6572|6616|6804|6843|6844|8673|8773|9341|9342|94235|9630	10681|1103|112755|1128|1131|116443|2767|2776|2782|2783|2784|2785|2786|2787|2788|2790|2791|2793|2902|2903|2904|2905|2906|29941|3708|3709|3710|43|5332|5578|5579|5580|5581|5582|5583|5584|5585|5586|5588|5590|590|59345|60482|6572|6616|6804|6843|6844|8673|8773|9341|9342|94235|9630
P00043	Muscarinic acetylcholine receptor 2 and 4 signaling pathway	http://identifiers.org/panther.pathway/P00043	53	53	panther		10681|1103|112755|1129|1132|2770|2771|2773|2775|2779|2780|2782|2783|2784|2785|2786|2787|2788|2790|2791|2793|3760|3762|3763|3765|415117|43|5566|5567|5568|5573|5575|5576|5577|55811|5613|590|59345|60482|6535|6572|6616|6804|6810|6843|6844|8673|8675|8676|8773|9341|9342|94235	10681|1103|112755|1129|1132|2770|2771|2773|2775|2779|2780|2782|2783|2784|2785|2786|2787|2788|2790|2791|2793|3760|3762|3763|3765|415117|43|5566|5567|5568|5573|5575|5576|5577|55811|5613|590|59345|60482|6535|6572|6616|6804|6810|6843|6844|8673|8675|8676|8773|9341|9342|94235
P00044	Nicotinic acetylcholine receptor signaling pathway	http://identifiers.org/panther.pathway/P00044	86	86	panther		100128553|10120|10121|1103|112755|1134|1135|1136|1137|1138|1139|1140|1141|1142|1143|1144|1145|1146|126969|140469|22989|23026|345651|399687|415117|43|441294|4430|4542|4619|4620|4621|4622|4624|4625|4626|4627|4628|4629|4640|4641|4642|4643|4644|4645|4646|4647|4648|4649|4651|51168|53904|55584|55930|57053|57644|58|59|590|60|60482|64005|643854|6535|6572|6616|6804|6810|6843|6844|70|71|72|79784|79990|80179|84700|8673|8675|8676|8735|8773|8973|89832|9341|9342	100128553|10120|10121|1103|112755|1134|1135|1136|1137|1138|1139|1140|1141|1142|1143|1144|1145|1146|126969|140469|22989|23026|345651|399687|415117|43|441294|4430|4542|4619|4620|4621|4622|4624|4625|4626|4627|4628|4629|4640|4641|4642|4643|4644|4645|4646|4647|4648|4649|4651|51168|53904|55584|55930|57053|57644|58|59|590|60|60482|64005|643854|6535|6572|6616|6804|6810|6843|6844|70|71|72|79784|79990|80179|84700|8673|8675|8676|8735|8773|8973|89832|9341|9342
P00045	Notch signaling pathway	http://identifiers.org/panther.pathway/P00045	29	29	panther		102|10683|11317|140825|182|222484|23385|23509|2530|3516|3714|3955|4242|4851|4853|4854|4855|54567|55294|5663|6868|84461|84708|8650|8788|9148|9541|9612|9794	102|10683|11317|140825|182|222484|23385|23509|2530|3516|3714|3955|4242|4851|4853|4854|4855|54567|55294|5663|6868|84461|84708|8650|8788|9148|9541|9612|9794
P00046	Oxidative stress response	http://identifiers.org/panther.pathway/P00046	45	45	panther		11072|11221|11266|128853|142679|1432|150290|1649|1843|1844|1845|1846|1847|1848|1849|1850|1852|2002|2872|29904|338599|3725|4149|4208|4609|51207|5321|5599|5600|5601|5603|5606|5608|56940|596|6300|63904|6416|6772|6815|7295|78986|80824|8569|92235	11072|11221|11266|128853|142679|1432|150290|1649|1843|1844|1845|1846|1847|1848|1849|1850|1852|2002|2872|29904|338599|3725|4149|4208|4609|51207|5321|5599|5600|5601|5603|5606|5608|56940|596|6300|63904|6416|6772|6815|7295|78986|80824|8569|92235
P00047	PDGF signaling pathway	http://identifiers.org/panther.pathway/P00047	125	125	panther		100271927|10156|10451|10746|10750|1147|143872|1997|1998|1999|2000|2001|2002|2005|2077|2078|208|2113|2117|225689|22981|23092|2313|2353|23533|23779|2549|2551|25759|25803|26292|26298|26750|27330|2872|2885|2931|2932|3265|3551|369|3708|3709|3710|3716|3717|3718|3725|392|393|394|395|4216|4609|4690|4893|4983|51199|5154|5155|5156|5157|5159|5170|5289|5290|5291|5293|5294|5295|5296|5335|53358|5336|54738|5578|55843|5586|5594|5595|5597|5598|5599|5602|5604|5605|57522|5894|5921|5922|6195|6196|6197|6198|6199|64333|6464|6654|6655|6722|673|6772|6773|6774|6775|6776|6777|6778|7392|7409|7410|79658|8440|85004|8503|8518|8569|8986|9230|9252|9261|9402|94134|9846|9901	100271927|10156|10451|10746|10750|1147|143872|1997|1998|1999|2000|2001|2002|2005|2077|2078|208|2113|2117|225689|22981|23092|2313|2353|23533|23779|2549|2551|25759|25803|26292|26298|26750|27330|2872|2885|2931|2932|3265|3551|369|3708|3709|3710|3716|3717|3718|3725|392|393|394|395|4216|4609|4690|4893|4983|51199|5154|5155|5156|5157|5159|5170|5289|5290|5291|5293|5294|5295|5296|5335|53358|5336|54738|5578|55843|5586|5594|5595|5597|5598|5599|5602|5604|5605|57522|5894|5921|5922|6195|6196|6197|6198|6199|64333|6464|6654|6655|6722|673|6772|6773|6774|6775|6776|6777|6778|7392|7409|7410|79658|8440|85004|8503|8518|8569|8986|9230|9252|9261|9402|94134|9846|9901
P00048	PI3 kinase pathway	http://identifiers.org/panther.pathway/P00048	43	43	panther		10000|10681|207|208|2308|2309|23533|2767|2770|2771|2773|2776|2780|2782|2783|2784|2792|2793|2932|3632|3636|3643|3667|3717|4303|4846|4893|5170|5290|5291|5295|5296|5728|5731|59345|6198|6199|6654|6655|7534|842|8503|9630	10000|10681|207|208|2308|2309|23533|2767|2770|2771|2773|2776|2780|2782|2783|2784|2792|2793|2932|3632|3636|3643|3667|3717|4303|4846|4893|5170|5290|5291|5295|5296|5728|5731|59345|6198|6199|6654|6655|7534|842|8503|9630
P00049	Parkinson disease	http://identifiers.org/panther.pathway/P00049	85	85	panther		10273|10971|118424|122011|1432|143471|1445|1452|1453|1454|1455|1456|1459|1460|156|157|1861|2002|225689|2268|23291|23673|2444|2534|27433|2810|283106|2861|3055|3091|3303|3304|3305|3306|3309|3310|3312|3313|3932|4067|4729|5071|5338|55294|5594|5595|5598|5599|5601|5602|5682|5683|5684|5685|5686|5687|5688|5689|5691|5695|5699|6300|640|6531|6620|6622|6623|6714|7054|7332|7345|7525|7529|7531|7532|7533|7534|8417|8454|8573|898|9134|9246|9283|9627	10273|10971|118424|122011|1432|143471|1445|1452|1453|1454|1455|1456|1459|1460|156|157|1861|2002|225689|2268|23291|23673|2444|2534|27433|2810|283106|2861|3055|3091|3303|3304|3305|3306|3309|3310|3312|3313|3932|4067|4729|5071|5338|55294|5594|5595|5598|5599|5601|5602|5682|5683|5684|5685|5686|5687|5688|5689|5691|5695|5699|6300|640|6531|6620|6622|6623|6714|7054|7332|7345|7525|7529|7531|7532|7533|7534|8417|8454|8573|898|9134|9246|9283|9627
P00050	Plasminogen activating cascade	http://identifiers.org/panther.pathway/P00050	16	16	panther		1361|2243|2244|2266|4018|4312|4314|4318|4322|5054|5055|5327|5328|5329|5340|5345	1361|2243|2244|2266|4018|4312|4314|4318|4322|5054|5055|5327|5328|5329|5340|5345
P00051	TCA cycle	http://identifiers.org/panther.pathway/P00051	10	10	panther		1431|2271|4190|4967|50|5160|5161|5164|6391|8802	1431|2271|4190|4967|50|5160|5161|5164|6391|8802
P00052	TGF-beta signaling pathway	http://identifiers.org/panther.pathway/P00052	91	91	panther		10220|10370|10454|10637|130399|1386|1387|1432|151449|196513|2033|2280|2281|2286|25805|2657|2658|2660|2661|2662|2668|269|27302|3265|353500|3624|3625|3626|3725|3726|3727|392255|4086|4087|4088|4089|4090|4091|4092|4093|4435|4838|4893|5594|5595|5599|5600|5601|5602|5603|56911|57154|6237|6300|64750|649|6497|6498|650|651|652|653|654|655|656|657|658|659|6885|7042|7043|7044|7046|7048|7092|7093|79753|8061|8200|83729|8928|90|91|92|9210|93|9372|94|9518|9573|9765	10220|10370|10454|10637|130399|1386|1387|1432|151449|196513|2033|2280|2281|2286|25805|2657|2658|2660|2661|2662|2668|269|27302|3265|353500|3624|3625|3626|3725|3726|3727|392255|4086|4087|4088|4089|4090|4091|4092|4093|4435|4838|4893|5594|5595|5599|5600|5601|5602|5603|56911|57154|6237|6300|64750|649|6497|6498|650|651|652|653|654|655|656|657|658|659|6885|7042|7043|7044|7046|7048|7092|7093|79753|8061|8200|83729|8928|90|91|92|9210|93|9372|94|9518|9573|9765
P00053	T cell activation	http://identifiers.org/panther.pathway/P00053	62	62	panther		10000|10451|1147|1445|207|208|2353|27040|3265|3551|369|3708|3725|3932|3937|4214|4690|4792|4893|5058|5062|5063|5289|5290|5291|5293|5294|5295|5296|5335|5530|5532|5533|5588|5594|5595|5599|5601|5604|5605|5788|5879|5894|6654|6655|673|7409|7410|7454|7535|801|8440|8503|915|916|917|919|940|9402|941|942|998	10000|10451|1147|1445|207|208|2353|27040|3265|3551|369|3708|3725|3932|3937|4214|4690|4792|4893|5058|5062|5063|5289|5290|5291|5293|5294|5295|5296|5335|5530|5532|5533|5588|5594|5595|5599|5601|5604|5605|5788|5879|5894|6654|6655|673|7409|7410|7454|7535|801|8440|8503|915|916|917|919|940|9402|941|942|998
P00054	Toll receptor signaling pathway	http://identifiers.org/panther.pathway/P00054	44	44	panther		10010|10333|10454|11213|114609|1147|1326|1432|148022|2002|23643|29110|353376|3551|3654|3661|3725|389898|4615|4792|4794|51135|51284|51295|51311|54106|54472|5595|5599|5601|5604|5605|5606|6885|7097|7098|7099|7128|7189|7334|7335|81793|929|9641	10010|10333|10454|11213|114609|1147|1326|1432|148022|2002|23643|29110|353376|3551|3654|3661|3725|389898|4615|4792|4794|51135|51284|51295|51311|54106|54472|5595|5599|5601|5604|5605|5606|6885|7097|7098|7099|7128|7189|7334|7335|81793|929|9641
P00055	Transcription regulation by bZIP transcription factor	http://identifiers.org/panther.pathway/P00055	47	47	panther		11036|129685|1387|148327|2033|29105|2957|2958|2959|2960|2961|2962|2963|2965|2967|2968|2972|29893|387332|51616|5432|5434|5435|5437|5441|55290|5573|5575|5576|5577|64764|6873|6874|6878|6879|6880|6882|6883|6908|7270|80298|8458|84699|9013|90993|9519|9586	11036|129685|1387|148327|2033|29105|2957|2958|2959|2960|2961|2962|2963|2965|2967|2968|2972|29893|387332|51616|5432|5434|5435|5437|5441|55290|5573|5575|5576|5577|64764|6873|6874|6878|6879|6880|6882|6883|6908|7270|80298|8458|84699|9013|90993|9519|9586
P00056	VEGF signaling pathway	http://identifiers.org/panther.pathway/P00056	61	61	panther		1409|1410|1432|207|2113|23683|23779|25759|25865|3091|3265|3315|369|3791|392|4846|4893|5286|5287|5289|5290|5291|5293|5294|5295|5296|5321|5335|5336|55615|5578|5579|5580|5581|5582|5583|5584|5587|5588|5590|5594|5595|5604|5605|56848|5747|5829|5879|5880|5881|5894|673|7041|7422|7867|842|8503|8877|9047|9261|9404	1409|1410|1432|207|2113|23683|23779|25759|25865|3091|3265|3315|369|3791|392|4846|4893|5286|5287|5289|5290|5291|5293|5294|5295|5296|5321|5335|5336|55615|5578|5579|5580|5581|5582|5583|5584|5587|5588|5590|5594|5595|5604|5605|56848|5747|5829|5879|5880|5881|5894|673|7041|7422|7867|842|8503|8877|9047|9261|9404
P00057	Wnt signaling pathway	http://identifiers.org/panther.pathway/P00057	264	264	panther		1000|1001|1002|1003|1004|1005|1006|1007|1008|1009|1010|1012|1013|1014|1015|1016|10847|11167|11211|120114|122011|130399|1387|1452|1453|1454|1455|1456|1459|1460|1487|1488|1495|1496|1499|166|1855|1856|1857|1951|1952|2033|2195|2196|22881|23236|23291|2487|2535|26025|26108|26167|27328|2767|2769|2776|2782|2783|2784|2785|2786|2787|2788|2790|283106|28316|28513|29119|2932|29930|3065|3066|3070|3708|3709|3710|4040|4041|407|408|4086|4089|409|4090|4772|4773|4775|4776|50485|5097|5098|5099|5100|5101|51176|51294|51339|51384|51701|51764|5330|5331|5332|54331|54361|54510|54617|54825|5515|5516|5525|5526|5527|5528|5529|5530|5532|5533|5534|5535|5578|5579|5580|5581|5582|5583|5584|55869|5588|5590|55970|56097|56098|56099|56100|56103|56104|56105|56106|56108|56109|56110|56112|56113|56114|56121|56122|56123|56124|56125|56126|56128|56129|56130|56131|56132|56133|56134|56135|56136|56137|56138|56139|56140|56141|56142|56143|56144|56145|56146|56147|56911|57526|57575|57634|57717|59345|607|6295|64072|6422|6423|6424|6425|64403|64405|6477|6478|64881|65217|657|658|6594|6595|6596|6597|6598|6599|6601|6602|6603|6604|6605|6885|6907|6934|7046|7088|7089|7090|7091|7471|7472|7473|7474|7475|7476|7477|7478|7479|7480|7481|7482|7483|7484|7855|79412|79718|7976|79816|80326|81029|8289|8312|8321|8322|8323|8324|8325|83259|8326|83439|83999|8467|85407|85409|8641|8642|8727|8841|8945|89780|90665|90780|91|92211|9350|94235|9557|9620|9630|9708|9752|999	1000|1001|1002|1003|1004|1005|1006|1007|1008|1009|1010|1012|1013|1014|1015|1016|10847|11167|11211|120114|122011|130399|1387|1452|1453|1454|1455|1456|1459|1460|1487|1488|1495|1496|1499|166|1855|1856|1857|1951|1952|2033|2195|2196|22881|23236|23291|2487|2535|26025|26108|26167|27328|2767|2769|2776|2782|2783|2784|2785|2786|2787|2788|2790|283106|28316|28513|29119|2932|29930|3065|3066|3070|3708|3709|3710|4040|4041|407|408|4086|4089|409|4090|4772|4773|4775|4776|50485|5097|5098|5099|5100|5101|51176|51294|51339|51384|51701|51764|5330|5331|5332|54331|54361|54510|54617|54825|5515|5516|5525|5526|5527|5528|5529|5530|5532|5533|5534|5535|5578|5579|5580|5581|5582|5583|5584|55869|5588|5590|55970|56097|56098|56099|56100|56103|56104|56105|56106|56108|56109|56110|56112|56113|56114|56121|56122|56123|56124|56125|56126|56128|56129|56130|56131|56132|56133|56134|56135|56136|56137|56138|56139|56140|56141|56142|56143|56144|56145|56146|56147|56911|57526|57575|57634|57717|59345|607|6295|64072|6422|6423|6424|6425|64403|64405|6477|6478|64881|65217|657|658|6594|6595|6596|6597|6598|6599|6601|6602|6603|6604|6605|6885|6907|6934|7046|7088|7089|7090|7091|7471|7472|7473|7474|7475|7476|7477|7478|7479|7480|7481|7482|7483|7484|7855|79412|79718|7976|79816|80326|81029|8289|8312|8321|8322|8323|8324|8325|83259|8326|83439|83999|8467|85407|85409|8641|8642|8727|8841|8945|89780|90665|90780|91|92211|9350|94235|9557|9620|9630|9708|9752|999
P00058	mRNA splicing	http://identifiers.org/panther.pathway/P00058	5	5	panther		6626|6629|8233|9129|9410	6626|6629|8233|9129|9410
P00059	p53 pathway	http://identifiers.org/panther.pathway/P00059	43	43	panther		10000|1017|1026|10912|11200|1387|1647|2033|207|208|23411|23522|25942|2810|3065|3146|4193|4194|4616|472|51512|5170|5290|5371|545|5515|5516|5728|6612|6613|7157|7161|7179|7186|7341|7486|8626|8850|891|898|9219|983|995	10000|1017|1026|10912|11200|1387|1647|2033|207|208|23411|23522|25942|2810|3065|3146|4193|4194|4616|472|51512|5170|5290|5371|545|5515|5516|5728|6612|6613|7157|7161|7179|7186|7341|7486|8626|8850|891|898|9219|983|995
P00060	Ubiquitin proteasome pathway	http://identifiers.org/panther.pathway/P00060	44	44	panther		10054|10055|10213|10477|10533|11059|11060|11065|11219|27338|29089|3093|389898|4193|51619|55236|5704|5707|5708|5710|5713|57154|5719|64750|7317|7318|7319|7320|7321|7322|7323|7324|7325|7326|7327|7332|7334|7336|7337|83737|89910|9039|9246|9690	10054|10055|10213|10477|10533|11059|11060|11065|11219|27338|29089|3093|389898|4193|51619|55236|5704|5707|5708|5710|5713|57154|5719|64750|7317|7318|7319|7320|7321|7322|7323|7324|7325|7326|7327|7332|7334|7336|7337|83737|89910|9039|9246|9690
P02722	Acetate utilization	http://identifiers.org/panther.pathway/P02722	3	3	panther		55902|79611|84532	55902|79611|84532
P02723	Adenine and hypoxanthine salvage pathway	http://identifiers.org/panther.pathway/P02723	6	6	panther		100|3251|353|4860|56952|7498	100|3251|353|4860|56952|7498
P02724	Alanine biosynthesis	http://identifiers.org/panther.pathway/P02724	2	2	panther		586|587	586|587
P02725	Allantoin degradation	http://identifiers.org/panther.pathway/P02725	1	1	panther		55821	55821
P02726	Aminobutyrate degradation	http://identifiers.org/panther.pathway/P02726	1	1	panther		18	18
P02727	Androgen/estrogene/progesterone biosynthesis	http://identifiers.org/panther.pathway/P02727	9	9	panther		1588|3292|3293|3294|3988|51478|6646|8435|8630	1588|3292|3293|3294|3988|51478|6646|8435|8630
P02728	Arginine biosynthesis	http://identifiers.org/panther.pathway/P02728	6	6	panther		1373|162417|435|445|5009|790	1373|162417|435|445|5009|790
P02729	Ascorbate degradation	http://identifiers.org/panther.pathway/P02729	1	1	panther		6120	6120
P02730	Asparagine and aspartate biosynthesis	http://identifiers.org/panther.pathway/P02730	1	1	panther		440	440
